title,content,locale,categoryId
When was Sinai University established?,It was established in 2006,en,English 
Who is the president of Sinai University?,Dr. Gehan Fakry,en,English 
What are the faculties of Sinai University?,"Pharmacy, Dentistry, Business Administration, Mass Communication, Engineering, Information Systems, Physical Therapy, Biotechnology.",en,English 
Is Sinai University accredited?,"Yes, it is accredited by the Supreme Council of Universities and internationally recognized.",en,English 
What distinguishes Sinai University from some other universities?,Its admission threshold is 5% lower than the minimum required by other universities,en,English 
What are the application methods at Sinai University?,"You can apply to Sinai University in three ways:

Through the university's official website (Online).
At the university branches (Arish or Qantara).
Through the administrative office at Sama Tower in Cairo",en,English 
Who is eligible to apply on behalf of the student?,The guardian (father) or an authorized representative holding an official power of attorney notarized at the Real Estate Publicity Office (Egyptian notary) and addressed to Sinai University,en,English 
What is the initial application fee?,2000 Egyptian Pounds,en,English 
Are there additional service fees at application?,"Yes, 1000 Egyptian Pounds if using the application office.",en,English 
Are the application fees refundable?,"No, application fees are non-refundable.",en,English 
What is the English language placement test fee?,1000 Egyptian Pounds,en,English 
What happens if the student does not attend the English language placement test?,The English language course is added to the student's schedule as mandatory,en,English 
What is the ministry student registration fee?,100 Egyptian Pounds.,en,English 
Are the ministry registration fees refundable?,"No, they are non-refundable.",en,English 
What are the additional fees for changing a major (track change)?,500 Egyptian Pounds,en,English 
Is there a discount on tuition fees?,"Yes, there is a 30% discount for the Qantara branch and a 40% discount for the Arish branch",en,English 
Is there an annual increase in tuition fees?,"Yes, an annual increase of 10% per year",en,English 
Can the discount be combined with any other discounts?,"No, it cannot be combined with any other discounts",en,English 
Is a specific academic average required to maintain the discount?,"No, no specific academic average is required.",en,English 
Does the discount include the summer semester or the internship years?,"No, it does not include the summer semester or internship years.",en,English 
Does the student benefit from the discount when transferring from one faculty to another?,"Yes, students benefit from the discount if they wish to transfer their enrollment from one faculty to another non-equivalent faculty in the same branch or to the other branch (track change)",en,English 
"Does the student benefit from the discount if they withdraw and reapply
 to the same faculty they withdrew from?",They do not benefit from the discount.,en,English 
What documents are required for application for General and Azhari Secondary School students?,"Original secondary school certificate or original secondary school grade statement from the Educational Administration.
Original birth certificate.
Copy of the national ID card.
6 recent personal photos, size 4×6, with white background.
Military Form 2 for male students.
Military Form 6 or computer-issued birth certificate (for males over 18) or Military Form 7 instead.",en,English 
What documents are required for students with Arab equivalent secondary certificates?,"Original secondary certificate authenticated by the issuing authority and the Egyptian Embassy.
Original birth certificate.
Copy of passport.
6 recent personal photos, 4×6, with white background.
Military Form 2 for male students.
Military Form 6 or Form 7 (for males over 18)",en,English 
What documents are required for applying with the American Diploma?,"Original school GPA certificate authenticated by the General Administration of Examinations.
Original authenticated EST certificate.
Original academic transcript from KG1 to G12, or the basic education certificate.
Certificate of passing the supplementary subjects (Arabic + Religion).
Copy of the Ministry of Education statement showing the student's name.
6 personal photos, 4×6, with white background.
Military Form 2 for male students.
Military Form 6 or 7 for males over 18.",en,English 
What documents are required for English Secondary (IGCSE) students?,"Original school certificate authenticated by the General Administration of Examinations and the Egyptian Ministry of Foreign Affairs.
Original academic transcript from KG1 to G12, or the original basic education certificate.
Authenticated copy of the certificate of passing the supplementary subjects (Arabic + Religion).
Copy of the Ministry of Education statement showing the student's name.
6 recent personal photos, 4×6, with white background.
Military Form 2 for male students.
Military Form 6 or Form 7 (for males over 18).",en,English 
What are the requirements for transferring from a university inside Egypt?,"The same basic required documents (according to the certificate type).
Original grade statement and course content authenticated by the Ministry of Higher Education.
A clearance letter from the previous university.
Attendance of the student and guardian to sign the declaration and verify document authenticity.",en,English 
What are the requirements for transferring from outside Egypt?,"The same basic required documents (according to the certificate type).
Travel movement statement from Passports and Immigration showing entries and exits + copy of passport.
Original grade statement and course content authenticated by the country of issue and the Egyptian Embassy.
A letter from the cultural attaché confirming that the university is among those recognized in Egypt.
Meeting the minimum admission requirements set by the Supreme Council of Universities.
Attendance of the student and guardian to sign the declaration and commit to the authenticity of documents.",en,English 
What documents are required for international applicants with General/Azhari Secondary certificates?,"Original secondary school certificate or original secondary school grade statement from the Educational Administration.
Original birth certificate.
Copy of passport.
Copy of Egypt residency permit.
Copy of the national ID card.
6 recent personal photos, size 4×6, with white background.
For students holding the nationality of: Saudi Arabia - Kuwait - Jordan - Bahrain - Palestine - UAE, it is required to bring a letter addressed to the university stating no objection to the student's admission
",en,English 
What documents are required for international applicants with Arab equivalent secondary certificates?,"Original secondary certificate authenticated by the issuing authority and the Egyptian Embassy.
Original birth certificate.
Copy of passport.
6 recent personal photos, 4×6, with white background.
For students holding the nationality of: Saudi Arabia - Kuwait - Jordan - Bahrain - Palestine - UAE, it is required to bring a letter addressed to the university stating no objection to the student's admission
",en,English 
What documents are required for international applicants with the American Diploma?,"Original school GPA certificate authenticated by the General Administration of Examinations.
Copy of passport.
Original authenticated EST certificate.
Original academic transcript from KG1 to G12, or the basic education certificate.
Certificate of passing the supplementary subjects (Arabic + Religion).
Copy of the Ministry of Education statement showing the student's name.
6 personal photos, 4×6, with white background.
For students holding the nationality of: Saudi Arabia - Kuwait - Jordan - Bahrain - Palestine - UAE, it is required to bring a letter addressed to the university stating no objection to the student's admission
",en,English 
What documents are required for international applicants with English Secondary (IGCSE) certificates?,"Original school certificate authenticated by the General Administration of Examinations and the Egyptian Ministry of Foreign Affairs.
Original academic transcript from KG1 to G12, or the original basic education certificate.
Authenticated copy of the certificate of passing the supplementary subjects (Arabic + Religion).
6 recent personal photos, 4×6, with white background.
",en,English 
What faculties and majors are available at the Arish branch?,"Faculty of Pharmacy
Major: Pharm D
Duration: 5 years + internship year
Faculty of Dentistry
Major: Oral Medicine and Dental Surgery
Duration: 5 years + internship year
Faculty of Engineering
Mechanical Engineering:
Design and Production Engineering
Mechanical Power Engineering
Mechatronics Engineering
Architectural Engineering:
Architecture and Interior Design
Architecture and Urban Planning
Electrical and Computer Engineering:
Electronics and Communications Engineering
Computer and Control Engineering
Electrical Power and Machines Engineering
Civil Engineering
Duration: 5 years
Faculty of Information Technology and Computer Science
Computer Science and Software Engineering
Information Systems and Decision Support
Information Technology
Duration: 4 years
Faculty of Business Administration
Management
Accounting
Marketing
Finance and Investment
Faculty of Mass Communication
Radio and Television
Print and Electronic Journalism",en,English 
What faculties and majors are available at the Qantara branch?,"1) Faculty of Pharmacy
Pharm D
Duration: 5 years + internship year
2) Faculty of Dentistry
Oral Medicine and Dental Surgery
Duration: 5 years + internship year
3) Faculty of Engineering
Architectural Engineering
Duration: 5 years
4) Faculty of Physical Therapy
Physical Therapy
Duration: 5 years + internship year
5) Faculty of Information Technology and Computer Science
Computer Science and Software Engineering
Information Systems and Decision Support
Information Technology
Duration: 4 years
6) Faculty of Business Administration
Management
Accounting
Marketing
Finance and Investment
Duration: 4 years
7) Faculty of Mass Communication
Radio and Television
Print and Electronic Journalism
Public Relations and Advertising
Duration: 4 years
8) Faculty of Biotechnology
Pharmaceutical Biotechnology
Cosmetics Biotechnology
Industrial Biotechnology
Environmental Biotechnology
Biotechnology and Bioinformatics
Biotechnology and Bioeconomy
Duration: 4 years",en,English 
Is there student housing at the university?,"Yes, you can inquire about anything related to housing via email:
For the Arish branch: dorms.a@su.edu.eg
Or their phone number: 01022227633
For the Qantara branch: dorms.k@su.edu.eg
Or their phone number: 01022227655
",en,English 
What are the room booking instructions?,"Please send the following information:
 1- Specify the type of room
 2- Specify the booking type (year – term)
 3- Identification number (User name)
 4- Phone number (student and guardian)
 5- Faculty
 6- Year of study
",en,English 
Does the university provide transportation?,"Yes, you can inquire about anything related to transportation via email:
For the Arish branch: transportation.a@su.edu.eg
Or their phone number: 01013331500
For the Qantara branch: transportation.k@su.edu.eg
Or their phone number: 01022227669
",en,English 
What are the transportation booking instructions?," Please send the following information:
 1- Specify the required route
 2- Specify the booking type (daily – weekly)
 3- Identification number (User name)
 4- Phone number (student and guardian)
 5- Faculty
 6- Year of study
",en,English 
What is the minimum admission threshold for the Arish and Qantara branches for 2025?,"First: Arish Branch 2025
For General/Azhari Secondary:
Dentistry: 73%
Pharmacy: 68%
Engineering: 64%
Information Technology: 58%
For Arab and Foreign Equivalent Certificates:
Dentistry: 75%
Pharmacy: 66%
Engineering: 63%
Information Technology: 60%
Second: Qantara Branch 2025
For General/Azhari Secondary:
Dentistry: 73%
Pharmacy: 68%
Physical Therapy: 72%
Biotechnology: 53%
Engineering: 64%
Information Technology: 58%
Business Administration: 52%
Mass Communication: 52%
For Arab and Foreign Equivalent Certificates:
Dentistry: 77%
Pharmacy: 68%
Physical Therapy: 73%
Biotechnology: 58%
Engineering: 65%
Information Technology: 60%
Business Administration: 53%
Mass Communication: 53%",en,English 
Transportation,"Arish: Transportation.a@su.edu.eg
Qantara: Transportation.k@su.edu.eg",en,English 
Dorms,"Arish: Dorms.A@su.edu.eg
Qantara: Dorms.k@su.edu.eg",en,English 
Office of Student Services (OSS),"Arish: oss.a@su.edu.eg
Qantara: oss.k@su.edu.eg",en,English 
Financial Affairs,"Arish: Financial.affairs.a@su.edu.eg
Qantara: Financial.affairs.k@su.edu.eg",en,English 
Internship / Internship Office,"Qantara: Kantara.internship@su.edu.eg
Arish: Arish.internship@su.edu.eg",en,English 
Hiring,Academic.hr@su.edu.eg,en,English 
Marketing,marketing@su.edu.eg,en,English 
Alumni Inquiries,"Arish: Alumni.a@su.edu.eg
Qantara: Alumni.k@su.edu.eg ",en,English 
