title,content,locale,categoryId
متى تم تأسيس جامعة سيناء؟,تم تأسيسها عام 2006,ar,
من هو رئيس جامعة سيناء؟,دكتور جيهان فكري ,ar,
ما هي كليات جامعة سيناء؟,"الصيدلة، طب الأسنان، إدارة الأعمال، الإعلام (Mass Communication)،
 الهندسة، نظم المعلومات، العلاج الطبيعي، التكنولوجيا الحيوية.",ar,
هل جامعة سيناء معتمدة؟,"نعم، معتمدة من المجلس الأعلى للجامعات ومعترف بها دوليًا.",ar,
ماذا يميز جامعة سيناء عن بعض الجامعات الأخرى؟,أن نسبة القبول بها أقل بـ 5% من الحد الأدنى للجامعات الأخرى,ar,
ما هي طرق التقديم في جامعة سيناء؟,"يمكن التقديم في جامعة سيناء بثلاث طرق:

عن طريق الموقع الإلكتروني الرسمي للجامعة (Online).
التقديم في فروع الجامعة (العريش أو القنطرة).
من خلال المكتب الإداري ببرج سما في القاهرة",ar,
من يحق له التقديم للطالب ؟,ولي الامر ( الاب) او من ينوب عنه بتوكيل رسمي موثق في الشهر العقاري موجه لجامعه سيناء,ar,
ما قيمة رسوم التقديم المبدئي؟,2000 جنيه مصري,ar,
هل توجد رسوم خدمات إضافية عند التقديم؟,"نعم، 1000 جنيه مصري في حالة استخدام مكتب التقديم.",ar,
هل رسوم التقديم تُسترد؟,"لا، رسوم التقديم غير مستردة.",ar,
ما قيمة رسم اختبار تحديد مستوى اللغة الإنجليزية؟,1000 جنيه مصري,ar,
ماذا يحدث في حالة عدم حضور اختبار تحديد مستوى اللغة الإنجليزية؟,يتم إضافة مادة اللغة الإنجليزية للطالب بشكل إجباري,ar,
ما قيمة رسوم تسجيل الطالب بالوزارة؟,100 جنيه مصري.,ar,
هل رسوم تسجيل الوزارة مستردة؟,"لا، هي رسوم غير مستردة.",ar,
ما قيمة الرسوم الإضافية لتغيير المسار؟,500 جنيه مصري,ar,
هل يوجد خصم على المصروفات الدراسية؟,"نعم، يوجد خصم بنسبة 30% لفرع القنطرة , خصم 40% لفرع العريش ",ar,
هل هناك زيادة سنوية في الرسوم الدراسية؟,"نعم، زياده سنوية 10% سنويا",ar,
هل يمكن الجمع بين الخصم وأي خصومات أخرى؟,"لا، لا يمكن الجمع بينه وبين أي خصومات أخرى",ar,
هل يشترط معدل أكاديمي معين لاستمرار الخصم؟,"لا، لا يشترط الحصول على معدل أكاديمي معين.",ar,
هل يشمل الخصم الفصل الصيفي أو سنوات الامتياز؟,"لا، لا يشمل الفصل الصيفي أو سنوات الامتياز.",ar,
هل يستفيد الطالب من الخصم عند التحويل من كلية إلى أخرى؟,"نعم، يستفيد الطلاب من الخصم في حالة رغبتهم في نقل قيدهم 
من كلية إلى كلية أخرى غير مناظرة في نفس الفرع أو الفرع الآخر (تغيير مسار)",ar,
"هل يستفيد الطالب من الخصم إذا انحسب وأعاد التقديم
 في نفس كلية المنحسب منها ؟",لا يستفيد من الخصم.,ar,
ما الأوراق المطلوبة للتقديم لطلاب الثانوية العامة والأزهرية؟,"أصل شهادة الثانوية او أصل بيان درجات شهادة الثانوية من الإدارة التعليمية.
أصل شهادة الميلاد.
صورة من بطاقة الرقم القومي.
عدد 6 صور شخصية حديثة مقاس 4×6 بخلفية بيضاء.
نموذج 2 جند للطلاب الذكور.
استمارة 6 جند أو شهادة ميلاد كمبيوتر (للذكور فوق 18 سنة) أو استمارة 7 جند بدلًا منها.",ar,
ما الأوراق المطلوبة لطلاب الثانوية المعادلة العربية؟,"أصل شهادة الثانوية موثق من جهة الإصدار والسفارة المصرية.
أصل شهادة الميلاد.
صورة من جواز السفر.
عدد 6 صور شخصية حديثة 4×6 بخلفية بيضاء.
نموذج 2 جند للطلاب الذكور.
استمارة 6 جند أو 7 جند (للذكور فوق 18 سنة)",ar,
ما الأوراق المطلوبة للتقديم للدبلومة الأمريكية؟,"أصل شهادة المدرسة GPA موثقة من الإدارة العامة للامتحانات.
أصل شهادة EST موثقة .
أصل التسلسل الدراسي من KG1 إلى G12 أو شهادة التعليم الأساسي.
شهادة نجاح المواد التكميلية (العربي + الدين).
صورة من كشف وزارة التربية والتعليم موضح بها اسم الطالب.
عدد 6 صور شخصية 4×6 بخلفية بيضاء.
نموذج 2 جند للطلاب الذكور.
استمارة 6 أو 7 جند للذكور فوق 18 سنة.",ar,
ما الأوراق المطلوبة لطلاب الثانوية الإنجليزية (IGCSE)؟,"أصل شهادة المدرسة موثق من الإدارة العامة للامتحانات والخارجية المصرية.
أصل التسلسل الدراسي بدءًا من KG1 إلى G12 أو أصل شهادة التعليم الأساسي.
صورة من شهادة نجاح المواد التكميلية (العربي + الدين) موثقة.
صورة من كشف وزارة التربية والتعليم موضحًا اسم الطالب.
عدد 6 صور شخصية حديثة 4×6 بخلفية بيضاء.
نموذج 2 جند للطلاب الذكور.
استمارة 6 جند أو 7 جند (للذكور فوق 18 سنة).",ar,
ما متطلبات التحويل من جامعة داخل مصر؟,"نفس الأوراق الأساسية المطلوبة (حسب نوع الشهادة).
أصل بيان درجات ومحتوى علمي موثق من وزارة التعليم العالي.
إحضار إخلاء طرف من الجامعة المحول منها.
حضور الطالب وولي الأمر للتوقيع على الإقرار والتأكد من صحة المستندات.",ar,
ما متطلبات التحويل من خارج مصر؟,"نفس الأوراق الأساسية المطلوبة(حسب نوع الشهادة).
إحضار بيان تحركات من الجوازات والهجرة يوضح الدخول والخروج + صورة جواز السفر.
أصل بيان درجات ومحتوى علمي موثق من الدولة والسفارة المصرية.
خطاب من الملحق الثقافي يفيد أن الجامعة ضمن الجامعات المعترف بها في مصر.
تحقيق الحد الأدنى للقبول وفق المجلس الأعلى للجامعات.
حضور الطالب وولي الأمر للتوقيع على الإقرار والالتزام بصحة المستندات.",ar,
ما الأوراق المطلوبة للتقديم لطلاب الثانوية العامة والأزهرية؟,"أصل شهادة الثانوية او أصل بيان درجات شهادة الثانوية من الإدارة التعليمية.
أصل شهادة الميلاد.
صورة من جواز السفر 
صورة من الاقامة بدوله مصر
صورة من بطاقة الرقم القومي.
عدد 6 صور شخصية حديثة مقاس 4×6 بخلفية بيضاء.
للطلاب الحاملين جنسيات دولة كل من : السعودية - الكويت - الاردن - البحرين - فلسطين 
- الامارات ضرورة إحضار خطاب موجه للجامعة يفيد عدم ممانعة قبول الطالب 
",ar,
ما الأوراق المطلوبة لطلاب الثانوية المعادلة العربية؟,"أصل شهادة الثانوية موثق من جهة الإصدار والسفارة المصرية.
أصل شهادة الميلاد.
صورة من جواز السفر.
عدد 6 صور شخصية حديثة 4×6 بخلفية بيضاء.
للطلاب الحاملين جنسيات دولة كل من : السعودية - الكويت - الاردن - البحرين - فلسطين 
- الامارات ضرورة إحضار خطاب موجه للجامعة يفيد عدم ممانعة قبول الطالب 
",ar,
ما الأوراق المطلوبة للتقديم للدبلومة الأمريكية؟,"""أصل شهادة المدرسة GPA موثقة من الإدارة العامة للامتحانات.
صورة من جواز السفر 
أصل شهادة EST موثقة .
أصل التسلسل الدراسي من KG1 إلى G12 أو شهادة التعليم الأساسي.
شهادة نجاح المواد التكميلية (العربي + الدين).
صورة من كشف وزارة التربية والتعليم موضح بها اسم الطالب.
عدد 6 صور شخصية 4×6 بخلفية بيضاء.
للطلاب الحاملين جنسيات دولة كل من : السعودية - الكويت - الاردن - البحرين - فلسطين 
- الامارات ضرورة إحضار خطاب موجه للجامعة يفيد عدم ممانعة قبول الطالب 
",ar,
ما الأوراق المطلوبة لطلاب الثانوية الإنجليزية (IGCSE)؟,"""أصل شهادة المدرسة موثق من الإدارة العامة للامتحانات والخارجية المصرية.
أصل التسلسل الدراسي بدءًا من KG1 إلى G12 أو أصل شهادة التعليم الأساسي.
صورة من شهادة نجاح المواد التكميلية (العربي + الدين) موثقة.
عدد 6 صور شخصية حديثة 4×6 بخلفية بيضاء.
",ar,
ما الكليات والتخصصات الموجودة في فرع العريش؟,"كلية الصيدلة
تخصص: Pharm D
مدة الدراسة: 5 سنوات + سنه امتياز
كلية طب الأسنان
تخصص: طب الفم وجراحة الأسنان
مدة الدراسة: 5 سنوات + سنه امتياز
كلية الهندسة
الهندسة الميكانيكية:
هندسة التصميم والإنتاج
هندسة القوى الميكانيكية
هندسة الميكاترونكس
الهندسة المعمارية:
الهندسة المعمارية والتصميم الداخلي
الهندسة المعمارية والتخطيط العمراني
الهندسة الكهربائية والحاسب الآلي:
هندسة الإلكترونيات والاتصالات
هندسة الحاسبات والتحكم
هندسة القوى والآلات الكهربية
الهندسة المدنية
مدة الدراسة: 5 سنوات
كلية تكنولوجيا المعلومات وعلوم الحاسب
علوم الحاسب وهندسة البرمجيات
نظم المعلومات ودعم اتخاذ القرار
تكنولوجيا المعلومات
مدة الدراسة: 4 سنوات
كلية إدارة الأعمال
الإدارة
المحاسبة
التسويق
التمويل والاستثمار
 كلية الإعلام
الإذاعة والتلفزيون
الصحافة المطبوعة والإلكترونية",ar,
ما الكليات والتخصصات الموجودة في فرع القنطرة؟,"1) كلية الصيدلة 
Pharm D
مدة الدراسة: 5 سنوات + سنة امتياز
2) كلية طب الأسنان
طب الفم وجراحة الأسنان
مدة الدراسة: 5 سنوات + سنة امتياز
3) كلية الهندسة
الهندسة المعمارية
مدة الدراسة: 5 سنوات
4) كلية العلاج الطبيعي
العلاج الطبيعي
مدة الدراسة: 5 سنوات + سنة امتياز
5) كلية تكنولوجيا المعلومات وعلوم الحاسب
علوم الحاسب وهندسة البرمجيات
نظم المعلومات ودعم اتخاذ القرار
تكنولوجيا المعلومات
مدة الدراسة: 4 سنوات
6) كلية إدارة الأعمال
الإدارة
المحاسبة
التسويق
التمويل والاستثمار
مدة الدراسة: 4 سنوات
7) كلية الإعلام
الإذاعة والتلفزيون
الصحافة المطبوعة والإلكترونية
العلاقات العامة والإعلان
مدة الدراسة: 4 سنوات
8) كلية التكنولوجيا الحيوية
التكنولوجيا الحيوية الصيدلية
التكنولوجيا الحيوية لمستحضرات التجميل
التكنولوجيا الحيوية الصناعية
التكنولوجيا الحيوية البيئية
التكنولوجيا الحيوية والمعلوماتية الحيوية
التكنولوجيا الحيوية والاقتصاد الحيوي
مدة الدراسة: 4 سنوات",ar,
