ref,title,listingKind,propertyType,area,city,compound,price,rentPrice,rentPeriod,currency,unitAreaSqm,bedrooms,bathrooms,finish,furnished,availability,status,deliveryDate,isAssignment,downPaymentPaid,isFeatured,address,description
MADINATY-001-01,95 sqm apartment in Madinaty - 2 BR,sale,apartment,New Cairo / East Cairo,New Cairo,Madinaty,5800000,,,EGP,95,2,2,fully_finished,False,available,active,2025-10-23,False,,True,"Madinaty, New Cairo / East Cairo","Apartment for sale in Madinaty. 95 sqm, fully finished, unfurnished, 2 bedrooms, 2 bathrooms. Delivery: 2025-10-23."
MADINATY-001-02,90 sqm office in Madinaty,sale,office,New Cairo / East Cairo,New Cairo,Madinaty,10050000,,,EGP,90,0,1,finished,True,available,active,2025-12-06,False,,True,"Madinaty, New Cairo / East Cairo","Office for sale in Madinaty. 90 sqm, finished, furnished, 0 bedrooms, 1 bathroom. Delivery: 2025-12-06."
MADINATY-001-03,170 sqm retail in Madinaty,sale,retail,New Cairo / East Cairo,New Cairo,Madinaty,13150000,,,EGP,170,0,2,fully_finished,False,available,active,2025-08-03,False,,True,"Madinaty, New Cairo / East Cairo","Retail for sale in Madinaty. 170 sqm, fully finished, unfurnished, 0 bedrooms, 2 bathrooms. Delivery: 2025-08-03."
NOOR-CIT-002-01,85 sqm apartment in Noor City - 2 BR,sale,apartment,New Capital,New Capital,Noor City,3900000,,,EGP,85,2,2,finished,False,available,active,2028-06-21,False,,True,"Noor City, New Capital","Apartment for sale in Noor City. 85 sqm, finished, unfurnished, 2 bedrooms, 2 bathrooms. Delivery: 2028-06-21."
NOOR-CIT-002-02,155 sqm apartment in Noor City - 3 BR,sale,apartment,New Capital,New Capital,Noor City,6450000,,,EGP,155,3,2,finished,False,available,active,2028-12-14,False,,True,"Noor City, New Capital","Apartment for sale in Noor City. 155 sqm, finished, unfurnished, 3 bedrooms, 2 bathrooms. Delivery: 2028-12-14."
NOOR-CIT-002-03,225 sqm townhouse in Noor City - 3 BR,sale,townhouse,New Capital,New Capital,Noor City,15800000,,,EGP,225,3,3,finished,False,available,active,2028-06-22,False,,True,"Noor City, New Capital","Townhouse for sale in Noor City. 225 sqm, finished, unfurnished, 3 bedrooms, 3 bathrooms. Delivery: 2028-06-22."
CELIAN-003-01,95 sqm apartment in Celian - 2 BR,sale,apartment,New Capital,New Capital,Celian,3850000,,,EGP,95,2,2,semi_finished,True,available,active,2029-05-22,False,,True,"Celian, New Capital","Apartment for sale in Celian. 95 sqm, semi finished, furnished, 2 bedrooms, 2 bathrooms. Delivery: 2029-05-22."
CELIAN-003-02,145 sqm apartment in Celian - 3 BR,sale,apartment,New Capital,New Capital,Celian,8450000,,,EGP,145,3,2,semi_finished,False,available,active,2029-05-20,False,,True,"Celian, New Capital","Apartment for sale in Celian. 145 sqm, semi finished, unfurnished, 3 bedrooms, 2 bathrooms. Delivery: 2029-05-20."
CELIAN-003-03,205 sqm townhouse in Celian - 3 BR,sale,townhouse,New Capital,New Capital,Celian,9800000,,,EGP,205,3,3,semi_finished,False,available,active,2029-09-12,False,,True,"Celian, New Capital","Townhouse for sale in Celian. 205 sqm, semi finished, unfurnished, 3 bedrooms, 3 bathrooms. Delivery: 2029-09-12."
SOUTHMED-004-01,90 sqm chalet in SouthMED - 2 BR,sale,chalet,North Coast,North Coast,SouthMED,13600000,,,EGP,90,2,2,finished,False,available,active,2028-07-15,False,,True,"SouthMED, North Coast","Chalet for sale in SouthMED. 90 sqm, finished, unfurnished, 2 bedrooms, 2 bathrooms. Delivery: 2028-07-15."
SOUTHMED-004-02,205 sqm townhouse in SouthMED - 3 BR,sale,townhouse,North Coast,North Coast,SouthMED,28850000,,,EGP,205,3,3,fully_finished,False,available,active,2028-05-04,False,,True,"SouthMED, North Coast","Townhouse for sale in SouthMED. 205 sqm, fully finished, unfurnished, 3 bedrooms, 3 bathrooms. Delivery: 2028-05-04."
SOUTHMED-004-03,390 sqm villa in SouthMED - 5 BR,sale,villa,North Coast,North Coast,SouthMED,43550000,,,EGP,390,5,4,fully_finished,True,available,active,2028-09-03,False,,True,"SouthMED, North Coast","Villa for sale in SouthMED. 390 sqm, fully finished, furnished, 5 bedrooms, 4 bathrooms. Delivery: 2028-09-03."
MIVIDA-005-01,100 sqm apartment in Mivida - 2 BR,sale,apartment,New Cairo,New Cairo,Mivida,6400000,,,EGP,100,2,2,semi_finished,False,available,active,2026-03-25,False,,True,"Mivida, New Cairo","Apartment for sale in Mivida. 100 sqm, semi finished, unfurnished, 2 bedrooms, 2 bathrooms. Delivery: 2026-03-25."
MIVIDA-005-02,165 sqm apartment in Mivida - 3 BR,sale,apartment,New Cairo,New Cairo,Mivida,12750000,,,EGP,165,3,3,semi_finished,False,available,active,2026-04-20,False,,True,"Mivida, New Cairo","Apartment for sale in Mivida. 165 sqm, semi finished, unfurnished, 3 bedrooms, 3 bathrooms. Delivery: 2026-04-20."
MIVIDA-005-03,260 sqm duplex in Mivida - 4 BR,sale,duplex,New Cairo,New Cairo,Mivida,24700000,,,EGP,260,4,4,fully_finished,False,available,active,2026-03-22,False,,True,"Mivida, New Cairo","Duplex for sale in Mivida. 260 sqm, fully finished, unfurnished, 4 bedrooms, 4 bathrooms. Delivery: 2026-03-22."
PALM-HIL-006-01,95 sqm apartment in Palm Hills New Cairo - 2 BR,sale,apartment,New Cairo,New Cairo,Palm Hills New Cairo,7450000,,,EGP,95,2,2,semi_finished,True,available,active,2027-06-17,False,,True,"Palm Hills New Cairo, New Cairo","Apartment for sale in Palm Hills New Cairo. 95 sqm, semi finished, furnished, 2 bedrooms, 2 bathrooms. Delivery: 2027-06-17."
PALM-HIL-006-02,135 sqm apartment in Palm Hills New Cairo - 3 BR,sale,apartment,New Cairo,New Cairo,Palm Hills New Cairo,12800000,,,EGP,135,3,2,finished,True,available,active,2027-05-28,False,,True,"Palm Hills New Cairo, New Cairo","Apartment for sale in Palm Hills New Cairo. 135 sqm, finished, furnished, 3 bedrooms, 2 bathrooms. Delivery: 2027-05-28."
PALM-HIL-006-03,210 sqm townhouse in Palm Hills New Cairo - 3 BR,sale,townhouse,New Cairo,New Cairo,Palm Hills New Cairo,14350000,,,EGP,210,3,3,semi_finished,False,available,active,2027-10-24,False,,True,"Palm Hills New Cairo, New Cairo","Townhouse for sale in Palm Hills New Cairo. 210 sqm, semi finished, unfurnished, 3 bedrooms, 3 bathrooms. Delivery: 2027-10-24."
BADYA-007-01,105 sqm apartment in Badya - 2 BR,sale,apartment,West Cairo,West Cairo,Badya,6250000,,,EGP,105,2,2,fully_finished,False,available,active,2029-02-15,False,,True,"Badya, West Cairo","Apartment for sale in Badya. 105 sqm, fully finished, unfurnished, 2 bedrooms, 2 bathrooms. Delivery: 2029-02-15."
BADYA-007-02,135 sqm apartment in Badya - 3 BR,sale,apartment,West Cairo,West Cairo,Badya,8850000,,,EGP,135,3,2,fully_finished,False,available,active,2029-03-26,False,,True,"Badya, West Cairo","Apartment for sale in Badya. 135 sqm, fully finished, unfurnished, 3 bedrooms, 2 bathrooms. Delivery: 2029-03-26."
BADYA-007-03,210 sqm townhouse in Badya - 3 BR,sale,townhouse,West Cairo,West Cairo,Badya,17950000,,,EGP,210,3,3,finished,False,available,active,2029-02-10,False,,True,"Badya, West Cairo","Townhouse for sale in Badya. 210 sqm, finished, unfurnished, 3 bedrooms, 3 bathrooms. Delivery: 2029-02-10."
HACIENDA-008-01,90 sqm chalet in Hacienda West - 2 BR,sale,chalet,North Coast,North Coast,Hacienda West,11050000,,,EGP,90,2,2,semi_finished,False,available,active,2027-11-22,False,,True,"Hacienda West, North Coast","Chalet for sale in Hacienda West. 90 sqm, semi finished, unfurnished, 2 bedrooms, 2 bathrooms. Delivery: 2027-11-22."
HACIENDA-008-02,135 sqm chalet in Hacienda West - 3 BR,sale,chalet,North Coast,North Coast,Hacienda West,13800000,,,EGP,135,3,2,semi_finished,True,available,active,2028-01-14,False,,True,"Hacienda West, North Coast","Chalet for sale in Hacienda West. 135 sqm, semi finished, furnished, 3 bedrooms, 2 bathrooms. Delivery: 2028-01-14."
HACIENDA-008-03,230 sqm townhouse in Hacienda West - 3 BR,sale,townhouse,North Coast,North Coast,Hacienda West,29000000,,,EGP,230,3,3,semi_finished,False,available,active,2028-01-25,False,,True,"Hacienda West, North Coast","Townhouse for sale in Hacienda West. 230 sqm, semi finished, unfurnished, 3 bedrooms, 3 bathrooms. Delivery: 2028-01-25."
MARASSI-009-01,85 sqm chalet in Marassi - 2 BR,sale,chalet,North Coast,North Coast,Marassi,8150000,,,EGP,85,2,2,fully_finished,False,available,active,2026-06-04,False,,True,"Marassi, North Coast","Chalet for sale in Marassi. 85 sqm, fully finished, unfurnished, 2 bedrooms, 2 bathrooms. Delivery: 2026-06-04."
